CRUSADEONOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
CRUSADEONOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
CRUSADEONOTHER_BTN3;Goto;Voir;GOTO;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x;
CRUSADEONOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x;
WECRUSADE_SETUP;When we call for a Crusade against another nation;Lorsque nous appelons à une croisade contre une autre nation;Wenn wir einen Kreuzzug geben eine andere Nation ausrufen.;;Cuando decretemos una Cruzada contra otra nación.;;;;;;;;;x;
WECRUSADE_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
WECRUSADE_1;Crusade;Croisade;Kreuzzug;;Cruzada;;;;;;;;;x;
WECRUSADE_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;Pañstwo;$MONARCHTITLE$,;$MONARCHTITLE$,;Vezérem,;$MONARCHTITLE$,;;;;;;x;
WECRUSADE_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
WECRUSADE_4;will soon learn to fear the might of Christianity!;ne tardera pas à craindre la puissance de la chrétienté !;wird bald lernen, die Macht der Christenheit zu fürchten!;;aprenderá pronto a temer el poder de la Cristiandad.;;;;;;;;;x;
WECRUSADE_5;*;*;*;*;*;*;*;;;;;;;x;
WECRUSADE_6;*;*;*;*;*;*;*;;;;;;;x;
WECRUSADE_LOG;We have called for a Crusade against $RECIPIENT$.;Nous avons appelé à une croisade contre $RECIPIENT$.;Wir haben einen Kreuzzug gegen $RECIPIENT$ ausgerufen.;;Hemos decretado una Cruzada contra $RECIPIENT$.;;;;;;;;;x;
WECRUSADE_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
WECRUSADE_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
WECRUSADE_BTN3;Goto;Voir;GOTO;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x;
WECRUSADE_MAP;*;*;*;*;*;*;*;;;;;;;x;
WEEXCOM_SETUP;When we excommunicate the ruler of another nation;Lorsque nous excommunions le souverain d'une autre nation;Wenn wir den Herrscher eines anderes Landes exkommunizieren.;;Cuando excomulguemos al gobernante de otra nación.;;;;;;;;;x;
WEEXCOM_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
WEEXCOM_1;Excommunication;Excommunication;Exkommunikation;;Excomunión;;;;;;;;;x;
WEEXCOM_2;$MONARCHTITLE$,;$MONARCHTITLE$,;$MONARCHTITLE$,;Pañstwo;$MONARCHTITLE$,;$MONARCHTITLE$,;Vezérem,;$MONARCHTITLE$,;;;;;;x;
WEEXCOM_3;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;hemos conseguido excomulgar al gobernante de;$RECIPIENT$;$RECIPIENT$;$RECIPIENT$;;;;;;x;
WEEXCOM_4;has had their ruler excommunicated by us!;a vu son souverain excommunié par nos soins !;hatte seinen Herrscher von uns exkommuniziert!;;$RECIPIENT$.;;;;;;;;;x;
WEEXCOM_5;*;*;*;*;*;*;*;;;;;;;x;
WEEXCOM_6;*;*;*;*;*;*;*;;;;;;;x;
WEEXCOM_LOG;We have excommunicated the ruler of $RECIPIENT$.;Nous avons excommunié le souverain de $RECIPIENT$.;Wir haben den Herrscher von $RECIPIENT$ exkommuniziert.;;Hemos excomulgado al gobernante de $RECIPIENT$.;;;;;;;;;x;
WEEXCOM_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
WEEXCOM_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
WEEXCOM_BTN3;Goto;Voir;GOTO;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x;
WEEXCOM_MAP;*;*;*;*;*;*;*;;;;;;;x;
DECISIONOTHER_SETUP;When another country executes a decision;Lorsqu'un autre pays applique une décision;Wenn ein anderes Land eine Entscheidung ausführt.;;Cuando otro país tome una decisión.;;;;;;;;;x;
DECISIONOTHER_HEADER;Herald from;Message de l’ambassadeur :;Herold aus;Wys³annik pañstwa:;Un heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x;
DECISIONOTHER_1;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x;
DECISIONOTHER_2;They have decided to;Ils ont décidé de;Sie berichten uns von;;Han tomado la decisión de;;;;;;;;;x;
DECISIONOTHER_3;$EVENT$!;$EVENT$ !;$EVENT$;$EVENT$!;$EVENT$.;$EVENT$!;$EVENT$!;$EVENT$!;;;;;;x;
DECISIONOTHER_4;$DESC$;$DESC$;das in ihrem Reich kürzlich entschieden wurde.;$DESC$;$DESC$;$DESC$;$DESC$;;;;;;;x;
DECISIONOTHER_5;*;*;*;*;*;*;*;;;;;;;x;
DECISIONOTHER_6;*;*;*;*;*;*;*;;;;;;;x;
DECISIONOTHER_LOG;Decision: $EVENT$ in $COUNTRY$.;Décision : $EVENT$ en $COUNTRY$.;Entscheidung: $EVENT$ in $COUNTRY$.;;Decisión: $EVENT$ en $COUNTRY$.;;;;;;;;;x;
DECISIONOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
DECISIONOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
DECISIONOTHER_BTN3;*;*;*;*;*;*;*;;;;;;;x;
DECISIONOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x;
DECISIONUS_SETUP;When we execute a decision;Lorsque nous appliquons une décision;Wenn wir eine Entscheidung ausführen.;;Cuando tomemos una decisión.;;;;;;;;;x;
DECISIONUS_HEADER;Our Chancellor reports;Notre chancelier rapporte que;Unser Kanzler berichtet:;Nasz kanclerz donosi;Nuestro canciller informa:;Il nostro Cancelliere riferisce:;Kancellárunk jelenti:;Náš kancléø hlásí;;;;;;x;
DECISIONUS_1;$EVENT$!;$EVENT$ !;$EVENT$!;$EVENT$!;$EVENT$;$EVENT$!;$EVENT$!;$EVENT$!;;;;;;x;
DECISIONUS_2;$DESC$;$DESC$;$DESC$;;$DESC$;;;;;;;;;x;
DECISIONUS_3;*;*;*;*;*;*;*;;;;;;;x;
DECISIONUS_4;*;*;*;*;*;*;*;;;;;;;x;
DECISIONUS_5;*;*;*;*;*;*;*;;;;;;;x;
DECISIONUS_6;*;*;*;*;*;*;*;;;;;;;x;
DECISIONUS_LOG;Decision: $EVENT$ for player.;Décision : $EVENT$ pour le joueur.;Entscheidung: $EVENT$ für Spieler.;;Decisión: $EVENT$ en el país del jugador.;;;;;;;;;x;
DECISIONUS_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
DECISIONUS_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
DECISIONUS_BTN3;*;*;*;*;*;*;*;;;;;;;x;
DECISIONUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEOTHER_SETUP;When another country accepts rebel demands;Lorsqu'un autre pays accepte les exigences rebelles;Wenn eine andere Nation Rebellenforderungen annimmt.;;Cuando otro país acepte las exigencias de los rebeldes.;;;;;;;;;x;
REBELACCEPTANCEOTHER_HEADER;Herald from;Message de l’ambassadeur :;Herold aus;Wys³annik pañstwa:;Un heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x;
REBELACCEPTANCEOTHER_1;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x;
REBELACCEPTANCEOTHER_2;They have accepted the demands of the;Ils ont accepté les exigences de;Sie haben die Forderungen angenommen von;;Han aceptado las exigencias de los;;;;;;;;;x;
REBELACCEPTANCEOTHER_3;$REBELS$;$REBELS$;$REBELS$;$REBELS$;$REBELS$;$REBELS$,;$REBELS$;$REBELS$;;;;;;x;
REBELACCEPTANCEOTHER_4;in their country.;dans leur pays.;in ihrem Land.;;en su país.;;;;;;;;;x;
REBELACCEPTANCEOTHER_5;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEOTHER_6;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEOTHER_LOG;$COUNTRY$ folds to the $REBELS$.;$COUNTRY$ plie face aux $REBELS$.;$COUNTRY$ ergibt sich den $REBELS$.;;$COUNTRY$ se doblega ante los $REBELS$.;;;;;;;;;x;
REBELACCEPTANCEOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
REBELACCEPTANCEOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
REBELACCEPTANCEOTHER_BTN3;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEUS_SETUP;When we accept rebel demands;Lorsque nous acceptons les exigences rebelles;Wenn wir Rebellenforderungen annehmen;;Cuando aceptemos las exigencias de los rebeldes.;;;;;;;;;x;
REBELACCEPTANCEUS_HEADER;Our Chancellor reports;Notre chancelier rapporte que;Unser Kanzler berichtet:;Nasz kanclerz donosi;Nuestro canciller informa:;Il nostro Cancelliere riferisce:;Kancellárunk jelenti:;Ná? kancléø hlásí;;;;;;x;
REBELACCEPTANCEUS_1;We have given in to the;Nous nous sommes soumis aux;Wir haben den Forderungen nachgegeben von;;¡Hemos cedido ante los;;;;;;;;;x;
REBELACCEPTANCEUS_2;$REBELS$!;$REBELS$ !;$REBELS$!;$REBELS$!;$REBELS$!;$REBELS$!;$REBELS$!;$REBELS$!;;;;;;x;
REBELACCEPTANCEUS_3;$DESC$;$DESC$;$DESC$;;$DESC$;;;;;;;;;x;
REBELACCEPTANCEUS_4;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEUS_5;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEUS_6;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEUS_LOG;Player folds to the $REBELS$.;Le joueur plie face aux $REBELS$.;Spieler ergibt sich den $REBELS$.;;El jugador se doblega ante los $REBELS$.;;;;;;;;;x;
REBELACCEPTANCEUS_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
REBELACCEPTANCEUS_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
REBELACCEPTANCEUS_BTN3;*;*;*;*;*;*;*;;;;;;;x;
REBELACCEPTANCEUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
REVOLT_SETUP;When there is a revolt in one of your provinces;Lorsqu'une révolte sévit dans l'une de nos provinces;Wenn es in einer Eurer Provinzen eine Revolte gibt;Kiedy w jednej z twoich prowincji dochodzi do buntu;Cuando haya una revuelta en una de tus provincias.;Quando scoppia una rivolta in una delle tue province;Az egyik provinciádon lázadás tört ki;Kdy v naší provincii propukne revolta;;;;;;x;
REVOLT_HEADER;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;$MESSENGER$;;;;;;x;
REVOLT_1;A Revolt!;Une révolte !;Revolte!;Bunt!;¡Una revuelta!;Una rivolta!;Lázadás!;Revolta!;;;;;;x;
REVOLT_2;$MONARCHTITLE$, $REBELS$ have risen up in;$MONARCHTITLE$, $REBELS$ sont à l'origine d'un soulèvement en;$MONARCHTITLE$, $REBELS$ haben sich erhoben in;;$MONARCHTITLE$, ¡los $REBELS$ se han alzado en;;;;;;;;;x;
REVOLT_3;$PROV$!;$PROV$ !;$PROV$!;;$PROV$!;;;;;;;;;x;
REVOLT_4;$REBELDESC$;$REBELDESC$;$REBELDESC$;;$REBELDESC$;;;;;;;;;x;
REVOLT_5;*;*;*;*;*;*;*;;;;;;;x;
REVOLT_6;*;*;*;*;*;*;*;;;;;;;x;
REVOLT_LOG;$REBELS$ are revolting in $PROV$!;$REBELS$ se révoltent en $PROV$ !;$REBELS$ revoltieren in $PROV$!;;¡Los $REBELS$ se han sublevado en $PROV$!;;;;;;;;;x;
REVOLT_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
REVOLT_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
REVOLT_BTN3;Goto;Voir;GOTO;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x;
REVOLT_MAP;Revolt!;Révolte !;Revolte!;Bunt!;¡Revuelta!;Rivolta!;Lázadás!;Revolta!;;;;;;x;
MISSIONDONEOTHER_SETUP;When another country completes a Mission;Lorsqu'un autre pays termine une mission;Wenn ein anderes Land eine Mission erfüllt.;;Cuando otro país complete una misión.;;;;;;;;;x;
MISSIONDONEOTHER_HEADER;Herald from;Message de l’ambassadeur :;Herold aus;Wys³annik pañstwa:;Un heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x;
MISSIONDONEOTHER_1;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x;
MISSIONDONEOTHER_2;They have completed the Mission:;Ils ont terminé la mission :;Sie haben diese Mission erfüllt:;;Han completado la misión:;;;;;;;;;x;
MISSIONDONEOTHER_3;$MISSION$;$MISSION$;$MISSION$;$MISSION$;$MISSION$;$MISSION$,;$MISSION$;$MISSION$;;;;;;x;
MISSIONDONEOTHER_4;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEOTHER_5;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEOTHER_6;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEOTHER_LOG;$COUNTRY$ has completed '$MISSION$'.;$COUNTRY$ a terminé '$MISSION$'.;$COUNTRY$ haben $MISSION$ erfüllt.;;$COUNTRY$ ha completado la misión $MISSION$.;;;;;;;;;x;
MISSIONDONEOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
MISSIONDONEOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
MISSIONDONEOTHER_BTN3;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEUS_SETUP;When we complete a Mission;Lorsque nous terminons une mission;Wenn wir eine Mission erfüllen.;;Cuando completemos una misión.;;;;;;;;;x;
MISSIONDONEUS_HEADER;We have completed a Mission;Nous avons terminé une mission;Wir haben eine Mission erfüllt;;Hemos completado la misión:;;;;;;;;;x;
MISSIONDONEUS_1;$MISSION$!;$MISSION$ !;$MISSION$!;$MISSION$!;$MISSION$.;$MISSION$!;$MISSION$!;$MISSION$!;;;;;;x;
MISSIONDONEUS_2;$DESC$;$DESC$;$DESC$;;$DESC$;;;;;;;;;x;
MISSIONDONEUS_3;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEUS_4;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEUS_5;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEUS_6;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEUS_LOG;We have completed '$MISSION$'.;Nous avons terminé '$MISSION$'.;Wir haben die Mission $MISSION$ erfüllt.;;Hemos completado la misión $MISSION$.;;;;;;;;;x;
MISSIONDONEUS_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
MISSIONDONEUS_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
MISSIONDONEUS_BTN3;*;*;*;*;*;*;*;;;;;;;x;
MISSIONDONEUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
NEWMISSIONUS_SETUP;When we receive a new Mission;Lorsque nous recevons une nouvelle mission;Wenn wir eine neue Mission erhalten.;;Cuando recibamos una nueva misión.;;;;;;;;;x;
NEWMISSIONUS_HEADER;$HEADER$;$HEADER$;$HEADER$;$HEADER$;$HEADER$;$HEADER$;$HEADER$;$HEADER$;;;;;;x;
NEWMISSIONUS_1;$MISSION$!;$MISSION$ !;$MISSION$!;$MISSION$!;$MISSION$.;$MISSION$!;$MISSION$!;$MISSION$!;;;;;;x;
NEWMISSIONUS_2;$DESC$;$DESC$;$DESC$;;$DESC$;;;;;;;;;x;
NEWMISSIONUS_3;*;*;*;*;*;*;*;;;;;;;x;
NEWMISSIONUS_4;*;*;*;*;*;*;*;;;;;;;x;
NEWMISSIONUS_5;*;*;*;*;*;*;*;;;;;;;x;
NEWMISSIONUS_6;*;*;*;*;*;*;*;;;;;;;x;
NEWMISSIONUS_LOG;We have been tasked with the Mission '$MISSION$'.;Nous avons reçu la mission '$MISSION$'.;Wir wurden mit der Mission $MISSION$ beauftragt.;;Se nos ha encomendado la misión $MISSION$.;;;;;;;;;x;
NEWMISSIONUS_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
NEWMISSIONUS_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x;
NEWMISSIONUS_BTN3;*;*;*;*;*;*;*;;;;;;;x;
NEWMISSIONUS_MAP;*;*;*;*;*;*;*;;;;;;;x;
BOGOMILIST;Bogomilist;Bogomil;Bogomilistisch;;Culto Bogomil;;;;;;;;;x;
WALDENSIAN;Waldensian;Waldensien;Waldensianisch;;Culto Valdense;;;;;;;;;x;
FRATICELLI;Fraticelli;Fraticelli;Fraticelli;;Culto Fraticelli;;;;;;;;;x;
HUSSITE;Hussite;Hussite;Hussitisch;;Culto Husita;;;;;;;;;x;
LOLLARD;Lollard;Lollard;Lollardisch;;Culto Lolardo;;;;;;;;;x;
PENTECOSTAL;Pentecostal;Pentecôtien;Pentecostisch;;Culto Pentecostalista;;;;;;;;;x;
METHODIST;Methodist;Méthodiste;Methodistisch;;Metodismo;;;;;;;;;x;
BAPTIST;Baptist;Baptiste;Baptistisch;;Baptismo;;;;;;;;;x;
QUAKER;Quaker;Quaker;Quaker;;Culto Cuáquero;;;;;;;;;x;
OLD_BELIEVER;Old Believer;Vieux-croyant;Altgläubig;;Culto de la Antigua Fe;;;;;;;;;x;
MOLOKAN;Molokan;Moloque;Molokanisch;;Culto Molokano;;;;;;;;;x;
DUKHOBOR;Dukhobor;Doukhobor;Dukhobor;;Culto Dujobori;;;;;;;;;x;
KHLYST;Khlyst;Khlysty;Khlystisch;;Culto Jlystı;;;;;;;;;x;
SKOPTSY;Skoptsy;Skoptsy;Skoptsisch;;Culto Skoptsy;;;;;;;;;x;
ICONOCLAST;Iconoclast;Iconoclaste;Iconoclastisch;;Culto Iconoclasta;;;;;;;;;x;
BEKTASHI;Bektashi;Bektachi;Bektashi;;Culto Bektashí;;;;;;;;;x;
AHMADI;Ahmadi;Ahmadi;Ahmadisch;;Culto Ahmadí;;;;;;;;;x;
ZIKRI;Zikri;Zikri;Zikrisch;;Culto Zikrí;;;;;;;;;x;
YAZIDI;Yazidi;Yazidi;Yazidisch;;Culto Yazidí;;;;;;;;;x;
SIKH;Sikh;Sikh;Sikh;;Culto Sij;;;;;;;;;x;
DRUZE;Druze;Druze;Druze;;Culto Druso;;;;;;;;;x;
HURUFI;Hurufi;Hurufi;Hurufisch;;Culto Hurufí;;;;;;;;;x;
ZAIDI;Zaidi;Zaidi;Zaidisch;;Culto Zaidí;;;;;;;;;x;
ZEN;Zen;Zen;Zen;;Zen;;;;;;;;;x;
BHAKTI;Bhakti;Bhakti;Bhakti;;Culto Bhakti;;;;;;;;;x;
TAOIST;Taoist;Taoïste;Taoistisch;;Taoísmo;;;;;;;;;x;
SHUGENDO;Shugendo;Shugendo;Shugendo;;Culto Shugendo;;;;;;;;;x;
BEAR_SPIRIT;Bear Spirit;Esprit de l'ours;Bärengeist;;Culto del Espíritu del Oso;;;;;;;;;x;
SNAKE_CLAN;Snake Clan;Clan du serpent;Schlangenklan;;Culto del Clan de la Serpiente;;;;;;;;;x;
GOAT_SKULL;Goat Skull;Crâne de chèvre;Ziegenschädel;;Culto del Cráneo de Cabra;;;;;;;;;x;
anti_tax_rebels_title;Peasant;Paysan;Bauern;;Campesinos;;;;;;;;;x;
anti_tax_rebels_name;$COUNTRY$ Peasants;Paysans de $COUNTRY$;$COUNTRY$ Bauern;;Campesinos de $COUNTRY$;;;;;;;;;x;
anti_tax_rebels_desc;Peasant insurgents have had enough of oppression and crushing taxes. They are poorly equipped and trained, chiefly mustering infantry.;Les paysans insurgés en ont eu assez d'être oppressés et écrasés par les impôts. Ils sont piètrement équipés et entraînés, rassemblant principalement des éléments d'infanterie.;Die Bauern und einfachen Leute haben genug von Unterdrückung und Steuerlast. Sie sind schlecht ausgerüstet und ausgebildet, und stellen hauptsächlich Infanterie.;;Los insurgentes campesinos han sufrido suficiente opresión e impuestos asfixiantes. Su equipamiento y entrenamiento es escaso y se componen de infantería, sobre todo.;;;;;;;;;x;
revolutionary_rebels_title;Revolutionary;Révolutionnaire;Revolutionär;;Revolucionarios;;;;;;;;;x;
revolutionary_rebels_name;$COUNTRY$ Revolutionaries;Révolutionnaires de $COUNTRY$;$COUNTRY$ $GOVERNMENT$;;Revolucionarios de $COUNTRY$;;;;;;;;;x;
revolutionary_rebels_desc;Revolutionary rebels are out to topple the regime, which they regard as corrupt and deeply unjust. They believe in their cause, and are led by disillusioned burghers and military officers.;Les rebelles révolutionnaires entendent renverser le régime qu'ils jugent corrompu et profondément injuste. Ils croient en leur cause et sont menés par des bourgeois désenchantés et des officiers militaires.;Revolutionäre haben genug von Unterdrückung und Steuerlast. Sie sind gut ausgerüstet und fest entschlossen, die Regierung zu stürzen.;;Los rebeldes revolucionarios se alzan para derrocar al régimen, al que consideran corrupto y sumamente injusto. Creen en su causa y están liderados por burgueses y oficiales militares desengañados.;;;;;;;;;x;
