PEACE_EFFECTS;With $THE$$CASUS$ Casus Belli, $ACTIVE$ gains $PRESTIGE$ Prestige and accrues $BADBOY$ Infamy.;Avec le casus belli $THE$$CASUS$, $ACTIVE$ gagne $PRESTIGE$ de prestige et accumule $BADBOY$ de déshonneur.;Mit dem Kriegsgrund$THE$$CASUS$ , erhält $ACTIVE$ $PRESTIGE$ Prestige und auch $BADBOY$ Ruf.;;Con $THE$$CASUS$ casus bellis, $ACTIVE$ gana $PRESTIGE$ prestigio y aumenta la infamia de $BADBOY$.;;;;;;;;;x
PEACE_DEFENDER_EFFECTS;As a defender, $ACTIVE$ gains $PRESTIGE$ Prestige and accrues $BADBOY$ Infamy.;En tant que défenseur, $ACTIVE$ gagne $PRESTIGE$ de prestige et accumule $BADBOY$ de déshonneur.;Als Verteidiger, $ACTIVE$ erhält $PRESTIGE$ Prestige und auch $BADBOY$ Ruf.;;Como defensor, $ACTIVE$ gana $PRESTIGE$ prestigio y aumenta la infamia de $BADBOY$.;;;;;;;;;x
THE;the;le / la / les;dem;;el;;;;;;;;;x
nocasusbelli;No Casus Belli;Pas de casus belli;Kein Kriegsgrund;;Sin casus belli;;;;;;;;;x
nocasusbelli_desc;We have no valid reason to attack them.;Nous n’avons aucune raison valable de les attaquer.;Wir haben keinen Grund, sie anzugreiffen.;;No tenemos una razón válida para atacarles.;;;;;;;;;x
cb_defection;Defected Province;Province perdue;Übergelaufene Provinz;;Provincia desertora;;;;;;;;;x
cb_defection_desc;They hold provinces that have defected from our rule.;Ils détiennent des provinces qui ne nous appartiennent plus.;Sie halten Provinzen, die aus unserer Herrschaft entlaufen sind.;;Controlan provincias que han renunciado a nuestra soberanía.;;;;;;;;;x
cb_loan_cancelled;Cancelled Loan;Emprunt annulé;Entwerteter Kredit;;Préstamo cancelado;;;;;;;;;x
cb_loan_cancelled_desc;They reneged on a loan.;Ils n’ont pas remboursé leur emprunt.;Sie haben einen Kredigt entwertet.;;No han cumplido con el préstamo.;;;;;;;;;x
cb_spy_discovered;Discovered Spy;Espion démasqué;Entdeckter Spion;;Espía descubierto;;;;;;;;;x
cb_spy_discovered_desc;They have been spying on us!;Ils nous espionnent !;Sie haben uns ausspioniert!;;¡Han estado espiándonos!;;;;;;;;;x
cb_disloyal_vassal;Disloyal Vassal;Vassal déloyal;Illoyaler Vassall;;Vasallo desleal;;;;;;;;;x
cb_disloyal_vassal_desc;They dishonourably broke their oath of vassalage.;Ils ont honteusement rompu leur serment de vasselage.;Sie haben ihre Vassalisation gebrochen.;;Han roto deshonrosamente su voto de vasallaje.;;;;;;;;;x
cb_defender_of_the_faith;Defender of the Faith;Défenseur de la foi;Verteidiger des Glaubens.;;Defensor de la fe;;;;;;;;;x
cb_defender_of_the_faith_desc;They are attacking our brothers of the Faith!;Ils attaquent nos frères de foi !;Sie greifen unsere Glaubensbrüder an!;;¡Están atacando a nuestros hermanos de fe!;;;;;;;;;x
cb_hre_attacked;Imperial Liberation;Libération impériale;Imperiale Befreiung;;Liberación imperial;;;;;;;;;x
cb_hre_attacked_desc;They have annexed an Imperial Principality.;Ils ont annexé une principauté impériale.;Sie haben eine Nation des Reichs annektiert;;Han anexado un principado imperial.;;;;;;;;;x
cb_guarantee;Guaranteed Independence;Indépendance garantie;Unabhängigkeitsgarantie;;Independencia garantizada;;;;;;;;;x
cb_guarantee_desc;They are attacking a country whose independence we have guaranteed.;Ils attaquent un pays auquel nous avons garanti l’indépendance.;Sie greifen ein Land an, dessen Unabhängigkeit wir garantieren.;;Están atacando un país cuya independencia hemos garantizado.;;;;;;;;;x
cb_warning;Unheeded Warning;Avertissement ignoré;Ignorierte Warnung;;Aviso desoído;;;;;;;;;x
cb_warning_desc;They have attacked one of our neighbors despite our warning.;Ils ont attaqué un de nos voisins en dépit de notre avertissement.;Sie haben ein Nachbarland angegriffen, ohne unsere Warnung zu beachten.;;Han atacado a uno de nuestros vecinos, pese a nuestra advertencia.;;;;;;;;;x
cb_insult;Diplomatic Insult;Insulte diplomatique;Diplomatische Beleidigung;;Insulto diplomático;;;;;;;;;x
cb_insult_desc;They have insulted us!;Ils nous ont insultés !;Sie haben uns beleidigt!;;¡Nos han insultado!;;;;;;;;;x
cb_claim_throne;Claim on Throne;Revendication au trône;Thronanspruch;;Reclamación sobre el trono;;;;;;;;;x
cb_claim_throne_desc;We have claimed our right to their throne.;Nous avons revendiqué notre droit sur leur trône.;Wir haben ihren Thron beansprucht.;;Hemos reclamado nuestro derecho a su trono;;;;;;;;;x
cb_offensive_call;Alliance;Alliance;Allianz;;Alianza;;;;;;;;;x
cb_offensive_call_desc;An ally is at war with them.;Un allié est en guerre avec eux.;Ein Verbündeter im Krieg mit ihnen.;;Un aliado está en guerra con ellos.;;;;;;;;;x
cb_dishonored_call;Dishonored Call;Appel déshonoré;Verweigerter Hilferuf;;Llamada desoída;;;;;;;;;x
cb_dishonored_call_desc;They dishonoured our call to war.;Ils ont déshonoré notre appel à la guerre.;Sie haben unseren Hilferuf ignoriert;;Han desoído nuestra llamada a la guerra;;;;;;;;;x
cb_conquest;Conquest;Conquête;Eroberung;;Conquista;;;;;;;;;x
cb_conquest_desc;We have been tasked with conquering certain provinces.;Nous avons été chargés de conquérir certaines provinces.;Wir wurden beauftragt, bestimmte Provinzen zu erobern;;Nos han encargado conquistar ciertas provincias.;;;;;;;;;x
cb_vassalize_mission;Subjugation;Assujettissement;Unterwerfung;;Subyugación;;;;;;;;;x
cb_vassalize_mission_desc;We have been tasked with their vassalization.;Nous avons été chargés de leur vassalisation.;Wir wurden mit ihrer Vassallisation beauftragt;;Nos han encargado su vasallaje.;;;;;;;;;x
cb_religious_conformance;Religious Unity;Unité religieuse;Religiöse Einheit;;Unidad religiosa;;;;;;;;;x
cb_religious_conformance_desc;One Empire, one Faith!;Un empire, une foi !;Ein Reich, ein Glaube!;;¡Un imperio, una fe!;;;;;;;;;x
cb_core;Reconquest;Reconquête;Rückeroberung;;Reconquista;;;;;;;;;x
cb_core_desc;They hold provinces that are rightfully ours.;Ils détiennent des provinces qui nous reviennent de droit.;Sie haben Provinzen, die rechtmäßig unser sind!;;Controlan provincias que son nuestras por derecho.;;;;;;;;;x
cb_nationalist;Nationalism;Nationalisme;Nationalismus;;Nacionalismo;;;;;;;;;x
cb_nationalist_desc;They hold provinces of our culture group.;Ils détiennent des provinces de notre groupe culturel.;Sie haben Provinzen aus unserer Kulturgruppe;;Controlan provincias de nuestro grupo cultural.;;;;;;;;;x
cb_imperial;Imperialism;Impérialisme;Imperialismus;;Imperialismo;;;;;;;;;x
cb_imperial_desc;They will be better off in our glorious empire!;Ils seront mieux dans notre glorieux empire !;Ihnen wird es unter unserer Herrschaft besser gehen!;;¡Estarán mejor en nuestro glorioso imperio!;;;;;;;;;x
cb_colonial;Colonialism;Colonialisme;Kolonialismus;;Colonialismo;;;;;;;;;x
cb_colonial_desc;They have colonies close to ours.;Ils possèdent des colonies proches des nôtres.;Sie haben Kolonien nahe den unseren.;;Tienen colonias próximas a las nuestras.;;;;;;;;;x
cb_restore_personal_union;Restoration of Union;Rétablissement de l’union;Wiedererrichtung der Union;;Restauración de la unión;;;;;;;;;x
cb_restore_personal_union_desc;They broke off from our Personal Union.;Ils ont rompu notre union personnelle.;Sie sind aus unserer Personalunion abgefallen.;;Han roto nuestra unión personal;;;;;;;;;x
cb_liberation;Liberation;Libération;Befreidung;;Liberación  ;;;;;;;;;x
cb_liberation_desc;They are oppressing peoples that deserve freedom.;Ils oppriment des peuples qui méritent d’être libres.;Sie werden unterdrückt und verdienen die Freiheit!;;Oprimen a pueblos que merecen la libertad.;;;;;;;;;x
cb_crusade;Holy War;Guerre sainte;Heiliger Krieg;;Guerra Santa;;;;;;;;;x
cb_crusade_desc;They are accursed infidels!;Maudits infidèles !;Sie sind verdammte Heiden!;;¡Son unos malditos infieles!;;;;;;;;;x
cb_heretic;Cleansing of Heresy;Purge de l'hérésie;Auslöschung der Ketzerei;;Purga de la herejía;;;;;;;;;x
cb_heretic_desc;Burn the heretics!;Brûlez les hérétiques !;Verbrennt die Ketzer!;;¡Quemad a los herejes!;;;;;;;;;x
cb_border_war;Border Friction;Conflit frontalier;Grenzdisput;;Disputas fronterizas;;;;;;;;;x
cb_border_war_desc;Their nation is focusing on an area close to our border.;Leur nation s’intéresse à une région proche de notre frontière.;Ihre Nation legt großes Augenmerk auf unsere Grenze.;;Su nación se está centrando en un área cercana a nuestra frontera.;;;;;;;;;x
cb_excommunication;Excommunicated Ruler;Souverain excommunié;Exkommunizierter Herrscher;;Soberano excomulgado;;;;;;;;;x
cb_excommunication_desc;Their ruler has been excommunicated.;Leur souverain a été excommunié.;Ihr Herrscher wurde exkommuniziert;;Su soberano ha sido excomulgado.;;;;;;;;;x
cb_trade_war;Trade Dispute;Conflit commercial;Handelsdisput;;Disputa comercial;;;;;;;;;x
cb_trade_war_desc;They are threatening our trade!;Ils menacent notre commerce !;Sie haben ein Embargo gegen uns verhängt!;;¡Amenazan nuestro comercio!;;;;;;;;;x
cb_imperial_ban;Imperial Ban;Embargo impérial;Reichsbann;;Veto imperial;;;;;;;;;x
cb_imperial_ban_desc;They hold Imperial provinces.;Ils détiennent des provinces impériales.;Sie halten Provinzen des Reichs.;;Controlan provincias imperiales.;;;;;;;;;x
cb_sphere_of_influence;Violated Sphere of Influence;Violation de la sphère d’influence;Einflusssphäre verletzt;;Zona de influencia violada;;;;;;;;;x
cb_sphere_of_influence_desc;They have meddled with countries in our Sphere of Influence.;Ils sont intervenus auprès de pays de notre sphère d’influence.;Sie haben sich in Ländern eingemischt, die in unserer Einflusssphäre liegen.;;Se han metido con países en nuestra zona de influencia.;;;;;;;;;x
cb_super_badboy;Dishonourable Scum;Vauriens sans honneur;Unehrenhaftes Pack;;Escoria sin honor;;;;;;;;;x
cb_super_badboy_desc;They are the scum of the earth!;Ce sont des rebuts de l’humanité !;Sie sind ohne Ehre;;¡Son la escoria de la tierra!;;;;;;;;;x
cb_primitives;Colonial Conquest;Conquête coloniale;Kolonialeroberung;;Conquista colonial;;;;;;;;;x
cb_primitives_desc;They are heathen primitives.;Ce sont des païens primitifs.;Sie sind heidnische Wilde.;;Son paganos primitivos.;;;;;;;;;x
cb_fabricated_claims;Obscure Documents;Documents obscurs;Vergessene Dokumente;;Documentos oscuros;;;;;;;;;x
cb_fabricated_claims_desc;We have some reasonably authentic documents proving the illegitimacy of their ruler.;Nous disposons de documents raisonnablement authentiques prouvant l’illégitimité de leur souverain.;Wir haben einigermaßen legale Dokumente gefunden, die die Rechtmäßigkeit ihrer Herrschaft in Frage stellen.;;Tenemos documentos razonablemente auténticos que prueban la ilegitimidad de su soberano.;;;;;;;;;x
GAIN_CB;Gain §Y$TYPE$§W Casus Belli on §Y$WHO$§W.\n;Gain d’un casus belli §Y$TYPE$§W contre §Y$WHO$§W.\n;Erhält §Y$TYPE$§W Kriegsgrund gegen §Y$WHO$§W.\n;;Gana §Y$TYPE$§W casus belli a §Y$WHO$§W.\n;;;;;;;;;x
LOSE_CB;Lose §Y$TYPE$§W Casus Belli on §Y$WHO$§W.\n;Perte d’un casus belli §Y$TYPE$§W contre §Y$WHO$§W.\n;Verliert §Y$TYPE$§W Kriegsgrund gegen §Y$WHO$§W.\n;;Pierde §Y$TYPE$§W casus belli con §Y$WHO$§W.\n;;;;;;;;;x
REV_GAIN_CB;§Y$ACTIVE$§W gains a §Y$TYPE$§W Casus Belli on §Y$PASSIVE$§W.\n;§Y$ACTIVE$§W gagne un casus belli §Y$TYPE$§W contre §Y$PASSIVE$§W.\n;§Y$ACTIVE$§W erhält einen §Y$TYPE$§W Kriegsgrund gegen §Y$PASSIVE$§W.\n;;§Y$ACTIVE$§W gana un §Y$TYPE$§W casus belli a §Y$PASSIVE$§W.\n;;;;;;;;;x
WAR_JUST;They cite '$CB$' as their Casus Belli!;Ils avancent le casus belli suivant : "$CB$" !;Sie deklarieren '$CB$' als ihren Kriegsgrund!;;¡Citan '$CB$' como su casus belli!;;;;;;;;;x
WAR_INJUST;They do not have a proper Casus Belli!;Ils n’ont aucun casus belli valable !;Wir haben keinen Kriegsgrund!;;¡No tienen un casus belli debido!;;;;;;;;;x
CB_DESC_HEAD;$BADBOY$ Infamy, $PRESTIGE$ Prestige and $COST$ Cost for:;$BADBOY$ de déshonneur, $PRESTIGE$ de prestige et $COST$ de coût pour :;$BADBOY$ Ruf $PRESTIGE$ Prestige und $COST$ Kosten für:;;$BADBOY$ Infamia, $PRESTIGE$ Prestigio y $COST$ Coste por:;;;;;;;;;x
CB_ALLOWED_PROVS;Conquest of;Conquête de;Eroberung von;;Conquista de;;;;;;;;;x
CB_ALLOWED_ANNEX;Full Annexation;Annexion totale;Volle Annektierung;;Anexión total;;;;;;;;;x
CB_ALLOWED_REVOKE;Claim Revocation;Demande de révocation;Anspruchaufgabe;;Demanda de revocación;;;;;;;;;x
CB_ALLOWED_RELEASE_VASSALS;Liberation of Vassals;Libération des vassaux;Vassallenbefreiung;;Liberación de vasallos;;;;;;;;;x
CB_ALLOWED_RELEASE_ANNEXED;Liberation of Countries;Libération des pays;Nationenbefreiung;;Liberación de países;;;;;;;;;x
CB_ALLOWED_CONVERSION;Forced Conversion;Conversion forcée;Zwangskonvertierung;;Conversión forzosa;;;;;;;;;x
CB_ALLOWED_UNION;Forming a Personal Union;Formation d’une union personnelle;Einrichtung einer Personalunion;;Estableciendo una unión personal;;;;;;;;;x
CB_ALLOWED_GOLD;Monetary Reparations;Réparations financières;Geldreparationen;;Compensación monetaria;;;;;;;;;x
CB_ALLOWED_VASSALAGE;Enforced Vassalage;Vasselage forcé;Zwangsvassallisierung;;Vasallaje forzado;;;;;;;;;x
CB_ALLOWED_CONCESSION;Concession of Defeat;Défaite admise;Eingestehung der Niederlage;;Concesión de derrota;;;;;;;;;x
CB_ALLOWED_REDUCTION;Reduction of Sphere;Réduction de la sphère;Einflusssphärenreduktion;;Reducción de zona;;;;;;;;;x
HASCBON;Has '$CASUS$' Casus Belli on $LIST$.;A un casus belli "$CASUS$" contre $LIST$.;Hat '$CASUS$' Kriegsgrund gegen $LIST$.;;Tiene '$CASUS$' casus belli en $LIST$.;;;;;;;;;x
DECLWAR_SETUP;When a nation declares war upon you;Lorsqu’une nation vous déclare la guerre;Wenn Euch ein anderes Land den Krieg erklärt;Kiedy inny kraj wypowiada ci wojnê;Cuando una nación te declara la guerra;Quando una nazione ti dichiara guerra;Mikor egy nemzet hadat üzen nekünk.;Když vám národ vyhlásí válku;;;;;;x
DECLWAR_HEADER;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;;;;;;x
DECLWAR_1;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
DECLWAR_2;$MONARCHTITLE$, $BADWORD$ in;$MONARCHTITLE$, $BADWORD$;$MONARCHTITLE$;$BADWORD$ z;$MONARCHTITLE$, $BADWORD$ en;$MONARCHTITLE$, $BADWORD$ di;Vezérünk, ;$MONARCHTITLE$, $BADWORD$ v;;;;;;x
DECLWAR_3;$AGRESSOR$ declared war;$AGRESSOR$ nous ont déclaré la;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiadaj¹ nam wojnê!;$AGRESSOR$ nos ha declarado la guerra.;$AGRESSOR$ ci hanno dichiarato;$AGRESSOR$ nemzete hadat üzent nekünk!;$AGRESSOR$ vyhlásil válku;;;;;;x
DECLWAR_4;upon us! Prepare for battle...;guerre ! Préparons-nous au conflit...;Bereitet Euch auf den Kampf vor ...;Gotujmy siê do bitwy...;Prepárate para la batalla…;guerra! Preparati a combattere...;Fel kell készülnünk a háborúra…;nám! Pøipravte se na boj...;;;;;;x
DECLWAR_5;*;*;*;*;*;*;*;*;*;*;*;*;*;x
DECLWAR_6;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;x
DECLWAR_LOG;$AGRESSOR$ started the $WAR$ against us!;$AGRESSOR$ nous a déclaré la $WAR$ !;$AGRESSOR$ begann den $WAR$ gegen unss!;;¡$AGRESSOR$ ha empezado la $WAR$ contra nosotros!;;;;;;;;;x
DECLWAR_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
DECLWAR_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
DECLWAR_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Menj ide:;Pøejít na;;;;;;x
DECLWAR_MAP;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
DECLWAROTHER_SETUP;When a nation declares war upon another nation;Lorsqu’une nation déclare la guerre à une autre;Wenn ein Land einem anderen Land den Krieg erklärt;Kiedy jakiœ kraj wypowiada wojnê innemu pañstwu;Cuando una nación declara la guerra a otra nación;Quando una nazione dichiara guerra a un'altra nazione;Mikor egy nemzet hadat üzen egy másik nemzetnek;Když národ vyhlásí válku jinému národu;;;;;;x
DECLWAROTHER_HEADER;Herald from;Message de l'ambassadeur :;Herold aus;Wys³annik pañstwa: ;Heraldo de;Messaggero da;Hírnök érkezett;Herold od;;;;;;x
DECLWAROTHER_1;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;$AGRESSOR$;;;;;;x
DECLWAROTHER_2;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$;$AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;$MONARCHTITLE$, $BADWORD$;Vezérünk, $AGRESSOR$;$MONARCHTITLE$, $AGRESSOR$;;;;;;x
DECLWAROTHER_3;declared war;a déclaré la guerre;hat ihrem neuen Feind;wypowiedzia³ wojnê.;ha declarado la guerra;hanno dichiarato guerra;hadat üzent;vyhlásil válku;;;;;;x
DECLWAROTHER_4;upon their new enemy;à ses ennemis;den Krieg erklärt;Jego nowym wrogiem jest:;a su nuevo enemigo;al loro nuovo nemico;és így új ellenfelet szerzett a következõ személyében:;svým nepøátelùm;;;;;;x
DECLWAROTHER_5;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$.;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x
DECLWAROTHER_6;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;$CASUS$;x
DECLWAROTHER_LOG;$AGRESSOR$ started the $WAR$ against $DEFENDER$.;$AGRESSOR$ a déclaré la $WAR$ à $DEFENDER$.;$AGRESSOR$ begann den $WAR$ gegen $DEFENDER$.;;$AGRESSOR$ ha iniciado la $WAR$ contra $DEFENDER$.;;;;;;;;;x
DECLWAROTHER_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
DECLWAROTHER_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
DECLWAROTHER_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Menj ide:;Pøejít na;;;;;;x
DECLWAROTHER_MAP;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
WEDECLWAR_SETUP;When we declare war upon another nation;Lorsque nous déclarons la guerre à une autre nation;Wenn wir einem anderen Land den Krieg erklären;Kiedy wypowiadamy wojnê innemu pañstwu;Cuando declaramos la guerra a otra nación;Quando noi dichiariamo guerra a un'altra nazione;Mikor mi üzenünk hadat egy másik nemzetnek;Když my vyhlásíme válku jinému národu;;;;;;x
WEDECLWAR_HEADER;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;$WAR$;;;;;;x
WEDECLWAR_1;We declared war on;Nous avons déclaré la guerre à;Wir haben Krieg erklärt an;$AGRESSOR$;Declaramos la guerra a;Abbiamo dichiarato guerra a;Hadat üzentünk a következõnek:;Vyhlásili jsme válku;;;;;;x
WEDECLWAR_2;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;$DEFENDER$;;;;;;x
WEDECLWAR_3;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_4;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_5;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_6;*;*;*;*;*;*;*;;;;;;;x
WEDECLWAR_LOG;We started the $WAR$ against $DEFENDER$.;Nous avons déclaré la $WAR$ à $DEFENDER$.;Wir begannen den $WAR$ gegen $DEFENDER$.;;Iniciamos la $WAR$ contra $DEFENDER$.;;;;;;;;;x
WEDECLWAR_BTN1;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEDECLWAR_BTN2;OK;Ok;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEDECLWAR_BTN3;Goto;Voir;GOTO;IdŸ do;Ir a;Andare;Menj ide:;Pøejít na;;;;;;x
WEDECLWAR_MAP;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBORÚ!;VÁLKA!;;;;;;x
PEACE_CONCEDE_DEFEAT;Concede Defeat;S’avouer vaincu;Niederlage eingestehen;;Conceder derrota;;;;;;;;;x
alert_casus_belli_will_expire_instant;§YExpiring Casus Belli:§W;§YExpiration du casus belli :§W;§Yauslaufender Kriegsgrund:§W;;§Ycasus belli expira:§W;;;;;;;;;x
